year,city,country,city_avg_temp,global_avg_temp
1849,Los Angeles,United States,15.71,7.98
1850,Los Angeles,United States,15.28,7.9
1851,Los Angeles,United States,15.53,8.18
1852,Los Angeles,United States,15.61,8.1
1853,Los Angeles,United States,16.27,8.04
1854,Los Angeles,United States,15.74,8.21
1855,Los Angeles,United States,15.94,8.11
1856,Los Angeles,United States,15.52,8
1857,Los Angeles,United States,16.19,7.76
1858,Los Angeles,United States,15.67,8.1
1859,Los Angeles,United States,15.29,8.25
1860,Los Angeles,United States,15.41,7.96
1861,Los Angeles,United States,16.51,7.85
1862,Los Angeles,United States,16.05,7.56
1863,Los Angeles,United States,15.88,8.11
1864,Los Angeles,United States,16.62,7.98
1865,Los Angeles,United States,15.89,8.18
1866,Los Angeles,United States,16.33,8.29
1867,Los Angeles,United States,16.51,8.44
1868,Los Angeles,United States,16.09,8.25
1869,Los Angeles,United States,16.05,8.43
1870,Los Angeles,United States,15.64,8.2
1871,Los Angeles,United States,15.89,8.12
1872,Los Angeles,United States,15.66,8.19
1873,Los Angeles,United States,15.7,8.35
1874,Los Angeles,United States,15.33,8.43
1875,Los Angeles,United States,16.19,7.86
1876,Los Angeles,United States,15.7,8.08
1877,Los Angeles,United States,16.24,8.54
1878,Los Angeles,United States,15.44,8.83
1879,Los Angeles,United States,15.55,8.17
1880,Los Angeles,United States,14.36,8.12
1881,Los Angeles,United States,15.65,8.27
1882,Los Angeles,United States,14.85,8.13
1883,Los Angeles,United States,15.52,7.98
1884,Los Angeles,United States,15.28,7.77
1885,Los Angeles,United States,16.44,7.92
1886,Los Angeles,United States,15.74,7.95
1887,Los Angeles,United States,15.62,7.91
1888,Los Angeles,United States,15.91,8.09
1889,Los Angeles,United States,16.22,8.32
1890,Los Angeles,United States,15.8,7.97
1891,Los Angeles,United States,15.63,8.02
1892,Los Angeles,United States,15.33,8.07
1893,Los Angeles,United States,14.95,8.06
1894,Los Angeles,United States,14.83,8.16
1895,Los Angeles,United States,15.36,8.15
1896,Los Angeles,United States,16.1,8.21
1897,Los Angeles,United States,15.32,8.29
1898,Los Angeles,United States,15.65,8.18
1899,Los Angeles,United States,15.59,8.4
1900,Los Angeles,United States,16.08,8.5
1901,Los Angeles,United States,15.72,8.54
1902,Los Angeles,United States,15.08,8.3
1903,Los Angeles,United States,15.49,8.22
1904,Los Angeles,United States,16.24,8.09
1905,Los Angeles,United States,15.52,8.23
1906,Los Angeles,United States,15.74,8.38
1907,Los Angeles,United States,15.46,7.95
1908,Los Angeles,United States,15.17,8.19
1909,Los Angeles,United States,15.01,8.18
1910,Los Angeles,United States,15.94,8.22
1911,Los Angeles,United States,14.82,8.18
1912,Los Angeles,United States,14.84,8.17
1913,Los Angeles,United States,15.2,8.3
1914,Los Angeles,United States,15.65,8.59
1915,Los Angeles,United States,15.43,8.59
1916,Los Angeles,United States,14.6,8.23
1917,Los Angeles,United States,15.59,8.02
1918,Los Angeles,United States,15.65,8.13
1919,Los Angeles,United States,15.34,8.38
1920,Los Angeles,United States,15.06,8.36
1921,Los Angeles,United States,15.76,8.57
1922,Los Angeles,United States,15.31,8.41
1923,Los Angeles,United States,15.39,8.42
1924,Los Angeles,United States,15.69,8.51
1925,Los Angeles,United States,15.72,8.53
1926,Los Angeles,United States,16.6,8.73
1927,Los Angeles,United States,15.41,8.52
1928,Los Angeles,United States,15.98,8.63
1929,Los Angeles,United States,16.1,8.24
1930,Los Angeles,United States,15.99,8.63
1931,Los Angeles,United States,16.6,8.72
1932,Los Angeles,United States,15.4,8.71
1933,Los Angeles,United States,15.4,8.34
1934,Los Angeles,United States,17.03,8.63
1935,Los Angeles,United States,15.5,8.52
1936,Los Angeles,United States,16.6,8.55
1937,Los Angeles,United States,15.68,8.7
1938,Los Angeles,United States,15.89,8.86
1939,Los Angeles,United States,16.3,8.76
1940,Los Angeles,United States,16.53,8.76
1941,Los Angeles,United States,15.62,8.77
1942,Los Angeles,United States,15.77,8.73
1943,Los Angeles,United States,16.12,8.76
1944,Los Angeles,United States,15.03,8.85
1945,Los Angeles,United States,15.7,8.58
1946,Los Angeles,United States,15.65,8.68
1947,Los Angeles,United States,15.98,8.8
1948,Los Angeles,United States,15.09,8.75
1949,Los Angeles,United States,15.36,8.59
1950,Los Angeles,United States,16.2,8.37
1951,Los Angeles,United States,15.76,8.63
1952,Los Angeles,United States,15.33,8.64
1953,Los Angeles,United States,15.68,8.87
1954,Los Angeles,United States,16.05,8.56
1955,Los Angeles,United States,15.34,8.63
1956,Los Angeles,United States,15.7,8.28
1957,Los Angeles,United States,15.8,8.73
1958,Los Angeles,United States,16.7,8.77
1959,Los Angeles,United States,17.05,8.73
1960,Los Angeles,United States,16.31,8.58
1961,Los Angeles,United States,16.21,8.8
1962,Los Angeles,United States,15.62,8.75
1963,Los Angeles,United States,15.73,8.86
1964,Los Angeles,United States,15.28,8.41
1965,Los Angeles,United States,15.34,8.53
1966,Los Angeles,United States,15.99,8.6
1967,Los Angeles,United States,15.92,8.7
1968,Los Angeles,United States,15.89,8.52
1969,Los Angeles,United States,15.79,8.6
1970,Los Angeles,United States,16,8.7
1971,Los Angeles,United States,15.26,8.6
1972,Los Angeles,United States,15.96,8.5
1973,Los Angeles,United States,15.51,8.95
1974,Los Angeles,United States,15.85,8.47
1975,Los Angeles,United States,15.12,8.74
1976,Los Angeles,United States,16.18,8.35
1977,Los Angeles,United States,16.26,8.85
1978,Los Angeles,United States,16.01,8.69
1979,Los Angeles,United States,15.88,8.73
1980,Los Angeles,United States,16.23,8.98
1981,Los Angeles,United States,16.89,9.17
1982,Los Angeles,United States,15.44,8.64
1983,Los Angeles,United States,16.2,9.03
1984,Los Angeles,United States,16.76,8.69
1985,Los Angeles,United States,15.96,8.66
1986,Los Angeles,United States,16.5,8.83
1987,Los Angeles,United States,16.09,8.99
1988,Los Angeles,United States,16.44,9.2
1989,Los Angeles,United States,16.36,8.92
1990,Los Angeles,United States,16.37,9.23
1991,Los Angeles,United States,16,9.18
1992,Los Angeles,United States,16.79,8.84
1993,Los Angeles,United States,16.36,8.87
1994,Los Angeles,United States,16.29,9.04
1995,Los Angeles,United States,16.64,9.35
1996,Los Angeles,United States,17.08,9.04
1997,Los Angeles,United States,16.93,9.2
1998,Los Angeles,United States,15.37,9.52
1999,Los Angeles,United States,16.12,9.29
2000,Los Angeles,United States,16.64,9.2
2001,Los Angeles,United States,16.47,9.41
2002,Los Angeles,United States,16.43,9.57
2003,Los Angeles,United States,16.94,9.53
2004,Los Angeles,United States,16.55,9.32
2005,Los Angeles,United States,16.43,9.7
2006,Los Angeles,United States,16.62,9.53
2007,Los Angeles,United States,16.7,9.73
2008,Los Angeles,United States,17.01,9.43
2009,Los Angeles,United States,16.68,9.51
2010,Los Angeles,United States,15.89,9.7
2011,Los Angeles,United States,15.87,9.52
2012,Los Angeles,United States,17.09,9.51
2013,Los Angeles,United States,18.12,9.61
